167	0	anonymous	202	2204	2211	Archive	""
167	1	anonymous	206	2006	2025	(Stenzel 2007a)	""
167	2	anonymous	209	351	355	not italic	""
167	3	anonymous	214	2045	2050	a speaker's / the speaker's	""
167	4	anonymous	287	1128	1131	LOT	""
167	5	U5jGVHcze6BW	188	818	819	replace : with .	"(because it's the second : in one sentence)"
167	6	U5jGVHcze6BW	188	1541	1549	add 'p'	"wrap**p**ing"
167	7	anonymous	201	854	858	delete 'the'	""
167	8	anonymous	212	817	820	not italic	""
167	9	anonymous	232	409	411	delete line space	""
167	10	anonymous	287	25	26	delete space	""
167	11	anonymous	288	1945	1948	of the	""
167	12	faonUyB1bDKQ	289	461	499	series ={ },number={114}	""
167	13	anonymous	201	1108	1117	of the speakers	""
167	14	anonymous	209	2008	2017	warriors	""
167	15	anonymous	214	1253	1255	narrative,	""
167	16	anonymous	234	170	172	no italic	""
167	17	anonymous	239	1271	1275	final full stop	""
167	18	anonymous	256	190	199	maybe: 'hawk's nest'	""
167	19	anonymous	258	241	243	longer hyphen	"cf. line 216"
167	20	U5jGVHcze6BW	182	637	638	replace . with ,	""
167	21	anonymous	283	1325	1331	woman	""
167	22	anonymous	287	391	401	diminutive	""
167	23	anonymous	217	1364	1379	interrogative	""
167	24	anonymous	218	1429	1432	check if italic	""
167	25	anonymous	273	876	880	comma needed?	""
167	26	anonymous	289	781	791	add series volume number	""
167	27	U5jGVHcze6BW	177	2273	2274	delete space	""
167	28	anonymous	226	1673	1675	no comma	""
167	29	anonymous	260	1266	1270	cf. previous comment	""
167	30	U5jGVHcze6BW	188	1450	1458	add 'p'	"wrap**p**ing"
167	31	anonymous	214	1670	1673	we ?	"since there are multiple authors"
167	32	anonymous	228	1521	1534	comitative	""
167	33	anonymous	256	1684	1686	delete final parenthesis	""
167	34	anonymous	273	955	958	comma needed?	""
167	35	anonymous	206	1221	1244	(Stenzel 2008b)	""
167	36	anonymous	217	1430	1433	with the morphemes	""
167	37	anonymous	223	561	567	space before?	""
167	38	U5jGVHcze6BW	197	68	99	like the publication above:	"Dissertation: Rice University."
167	39	anonymous	224	303	305	not italic	"also check below"
167	40	anonymous	231	1599	1606	shortened	""
167	41	anonymous	244	839	843	delete 'out'	""
167	42	faonUyB1bDKQ	289	279	292	delete ISSN	""
167	43	U5jGVHcze6BW	185	367	383	add break after English translation	""
167	44	anonymous	230	919	927	delete line space	""
167	45	anonymous	231	1648	1662	check word 'serialization'	"I'm not sure if this is the usual linguistic term; maybe 'serial verb construction' or 'serial construction' is more common?"
167	46	anonymous	239	1158	1161	final full stop missing	"Also in the Pt"
167	47	anonymous	252	1478	1482	insert 'the' (of the)	""
167	48	anonymous	257	1138	1140	length of the hyphen is inconsistent	"In the previous footnote the hyphen is longer; should this be made consistent?"
167	49	anonymous	269	1354	1367	spelling: hallucinogenic	""
167	50	anonymous	282	1543	1547	wants	"Or: You, our grandfather, want .. ?"
167	51	anonymous	286	957	973	check margin	""
167	52	faonUyB1bDKQ	289	255	278	url ={}	""
167	53	anonymous	204	2722	2728	convince	""
167	54	anonymous	220	920	923	final colon OK? Full stop instead?	""
167	55	anonymous	226	1767	1773	delete 'to be', insert comma	""
167	56	anonymous	227	1722	1727	no comma	""
167	57	anonymous	244	577	580	delete space (ele).	""
